,city,date,moonphase,sunrise,sunset
0,Chicago,2023-05-01,0.37,05:46:59,19:49:04
1,Chicago,2023-05-02,0.4,05:45:40,19:50:09
2,Chicago,2023-05-03,0.43,05:44:22,19:51:14
3,Chicago,2023-05-04,0.47,05:43:06,19:52:19
4,Chicago,2023-05-05,0.5,05:41:50,19:53:24
5,Chicago,2023-05-06,0.54,05:40:36,19:54:28
6,Chicago,2023-05-07,0.57,05:39:24,19:55:32
7,Chicago,2023-05-08,0.61,05:38:12,19:56:36
8,Chicago,2023-05-09,0.64,05:37:03,19:57:40
9,Chicago,2023-05-10,0.68,05:35:54,19:58:43
10,Chicago,2023-05-11,0.71,05:34:48,19:59:46
11,Chicago,2023-05-12,0.75,05:33:42,20:00:48
12,Chicago,2023-05-13,0.79,05:32:39,20:01:50
13,Chicago,2023-05-14,0.82,05:31:36,20:02:52
14,Chicago,2023-05-15,0.86,05:30:36,20:03:52
15,Chicago,2023-05-16,0.89,05:29:37,20:04:53
16,Chicago,2023-05-17,0.93,05:28:40,20:05:53
17,Chicago,2023-05-18,0.97,05:27:44,20:06:52
18,Chicago,2023-05-19,0.0,05:26:51,20:07:50
19,Chicago,2023-05-20,0.03,05:25:59,20:08:48
20,Chicago,2023-05-21,0.07,05:25:09,20:09:45
21,Chicago,2023-05-22,0.1,05:24:20,20:10:42
22,Chicago,2023-05-23,0.13,05:23:34,20:11:37
23,Chicago,2023-05-24,0.16,05:22:49,20:12:32
24,Chicago,2023-05-25,0.2,05:22:07,20:13:25
25,Chicago,2023-05-26,0.23,05:21:26,20:14:18
26,Chicago,2023-05-27,0.25,05:20:47,20:15:10
27,Chicago,2023-05-28,0.29,05:20:10,20:16:01
28,Chicago,2023-05-29,0.32,05:19:35,20:16:50
29,Chicago,2023-05-30,0.36,05:19:02,20:17:39
30,Chicago,2023-05-31,0.39,05:18:31,20:18:26
31,Chicago,2023-06-01,0.42,05:18:02,20:19:12
32,Chicago,2023-06-02,0.45,05:17:35,20:19:57
33,Chicago,2023-06-03,0.5,05:17:10,20:20:40
34,Chicago,2023-06-04,0.52,05:16:47,20:21:22
35,Chicago,2023-06-05,0.56,05:16:27,20:22:03
36,Chicago,2023-06-06,0.59,05:16:08,20:22:43
37,Chicago,2023-06-07,0.63,05:15:51,20:23:20
38,Chicago,2023-06-08,0.66,05:15:36,20:23:57
39,Chicago,2023-06-09,0.7,05:15:24,20:24:31
40,Chicago,2023-06-10,0.75,05:15:13,20:25:05
41,Chicago,2023-06-11,0.77,05:15:05,20:25:36
42,Chicago,2023-06-12,0.8,05:14:59,20:26:06
43,Chicago,2023-06-13,0.84,05:14:54,20:26:34
44,Chicago,2023-06-14,0.88,05:14:52,20:27:00
45,Chicago,2023-06-15,0.91,05:14:52,20:27:25
46,Chicago,2023-06-16,0.95,05:14:54,20:27:48
47,Chicago,2023-06-17,0.0,05:14:58,20:28:08
48,Chicago,2023-06-18,0.02,05:15:03,20:28:27
49,Chicago,2023-06-19,0.05,05:15:11,20:28:44
50,Chicago,2023-06-20,0.08,05:15:21,20:29:00
51,Chicago,2023-06-21,0.11,05:15:33,20:29:13
52,Chicago,2023-06-22,0.15,05:15:46,20:29:24
53,Chicago,2023-06-23,0.18,05:16:02,20:29:33
54,Chicago,2023-06-24,0.21,05:16:19,20:29:40
55,Chicago,2023-06-25,0.25,05:16:38,20:29:46
56,Chicago,2023-06-26,0.25,05:16:59,20:29:49
57,Chicago,2023-06-27,0.31,05:17:22,20:29:50
58,Chicago,2023-06-28,0.34,05:17:47,20:29:49
59,Chicago,2023-06-29,0.38,05:18:13,20:29:45
60,Chicago,2023-06-30,0.41,05:18:41,20:29:40
61,Chicago,2023-07-01,0.44,05:19:10,20:29:33
62,Chicago,2023-07-02,0.47,05:19:42,20:29:23
63,Chicago,2023-07-03,0.5,05:20:14,20:29:12
64,Chicago,2023-07-04,0.54,05:20:48,20:28:58
65,Chicago,2023-07-05,0.58,05:21:24,20:28:42
66,Chicago,2023-07-06,0.61,05:22:01,20:28:24
67,Chicago,2023-07-07,0.65,05:22:40,20:28:04
68,Chicago,2023-07-08,0.68,05:23:20,20:27:42
69,Chicago,2023-07-09,0.75,05:24:01,20:27:18
70,Chicago,2023-07-10,0.75,05:24:43,20:26:52
71,Chicago,2023-07-11,0.79,05:25:27,20:26:23
72,Chicago,2023-07-12,0.82,05:26:12,20:25:53
73,Chicago,2023-07-13,0.86,05:26:58,20:25:21
74,Chicago,2023-07-14,0.89,05:27:45,20:24:46
75,Chicago,2023-07-15,0.93,05:28:33,20:24:10
76,Chicago,2023-07-16,0.96,05:29:22,20:23:31
77,Chicago,2023-07-17,0.0,05:30:12,20:22:51
78,Chicago,2023-07-18,0.03,05:31:03,20:22:08
79,Chicago,2023-07-19,0.06,05:31:55,20:21:24
80,Chicago,2023-07-20,0.1,05:32:47,20:20:38
81,Chicago,2023-07-21,0.13,05:33:41,20:19:50
82,Chicago,2023-07-22,0.16,05:34:35,20:19:00
83,Chicago,2023-07-23,0.2,05:35:30,20:18:08
84,Chicago,2023-07-24,0.23,05:36:25,20:17:14
85,Chicago,2023-07-25,0.25,05:37:22,20:16:19
86,Chicago,2023-07-26,0.3,05:38:18,20:15:22
87,Chicago,2023-07-27,0.33,05:39:16,20:14:23
88,Chicago,2023-07-28,0.36,05:40:13,20:13:23
89,Chicago,2023-07-29,0.4,05:41:12,20:12:20
90,Chicago,2023-07-30,0.43,05:42:10,20:11:17
91,Chicago,2023-07-31,0.46,05:43:10,20:10:11
92,New York,2023-05-01,0.37,05:54:56,19:52:06
93,New York,2023-05-02,0.4,05:53:40,19:53:08
94,New York,2023-05-03,0.43,05:52:25,19:54:10
95,New York,2023-05-04,0.47,05:51:11,19:55:12
96,New York,2023-05-05,0.5,05:49:59,19:56:13
97,New York,2023-05-06,0.53,05:48:48,19:57:15
98,New York,2023-05-07,0.57,05:47:38,19:58:16
99,New York,2023-05-08,0.61,05:46:30,19:59:17
100,New York,2023-05-09,0.64,05:45:23,20:00:18
101,New York,2023-05-10,0.68,05:44:17,20:01:18
102,New York,2023-05-11,0.71,05:43:13,20:02:18
103,New York,2023-05-12,0.75,05:42:11,20:03:18
104,New York,2023-05-13,0.78,05:41:10,20:04:17
105,New York,2023-05-14,0.82,05:40:10,20:05:15
106,New York,2023-05-15,0.86,05:39:13,20:06:14
107,New York,2023-05-16,0.89,05:38:16,20:07:12
108,New York,2023-05-17,0.93,05:37:22,20:08:09
109,New York,2023-05-18,0.96,05:36:29,20:09:05
110,New York,2023-05-19,0.0,05:35:38,20:10:01
111,New York,2023-05-20,0.03,05:34:48,20:10:57
112,New York,2023-05-21,0.06,05:34:00,20:11:52
113,New York,2023-05-22,0.1,05:33:14,20:12:46
114,New York,2023-05-23,0.13,05:32:30,20:13:39
115,New York,2023-05-24,0.16,05:31:48,20:14:31
116,New York,2023-05-25,0.19,05:31:07,20:15:23
117,New York,2023-05-26,0.23,05:30:28,20:16:13
118,New York,2023-05-27,0.25,05:29:52,20:17:03
119,New York,2023-05-28,0.29,05:29:17,20:17:52
120,New York,2023-05-29,0.32,05:28:44,20:18:39
121,New York,2023-05-30,0.36,05:28:12,20:19:26
122,New York,2023-05-31,0.39,05:27:43,20:20:12
123,New York,2023-06-01,0.42,05:27:16,20:20:56
124,New York,2023-06-02,0.45,05:26:51,20:21:39
125,New York,2023-06-03,0.5,05:26:27,20:22:21
126,New York,2023-06-04,0.52,05:26:06,20:23:02
127,New York,2023-06-05,0.55,05:25:46,20:23:41
128,New York,2023-06-06,0.59,05:25:29,20:24:19
129,New York,2023-06-07,0.63,05:25:14,20:24:56
130,New York,2023-06-08,0.66,05:25:00,20:25:31
131,New York,2023-06-09,0.7,05:24:49,20:26:05
132,New York,2023-06-10,0.75,05:24:39,20:26:37
133,New York,2023-06-11,0.77,05:24:32,20:27:08
134,New York,2023-06-12,0.8,05:24:26,20:27:37
135,New York,2023-06-13,0.84,05:24:23,20:28:04
136,New York,2023-06-14,0.87,05:24:21,20:28:30
137,New York,2023-06-15,0.91,05:24:21,20:28:54
138,New York,2023-06-16,0.95,05:24:24,20:29:16
139,New York,2023-06-17,0.98,05:24:28,20:29:37
140,New York,2023-06-18,0.0,05:24:34,20:29:56
141,New York,2023-06-19,0.05,05:24:42,20:30:13
142,New York,2023-06-20,0.08,05:24:52,20:30:28
143,New York,2023-06-21,0.11,05:25:03,20:30:41
144,New York,2023-06-22,0.15,05:25:17,20:30:52
145,New York,2023-06-23,0.18,05:25:32,20:31:02
146,New York,2023-06-24,0.21,05:25:49,20:31:09
147,New York,2023-06-25,0.24,05:26:08,20:31:15
148,New York,2023-06-26,0.25,05:26:29,20:31:19
149,New York,2023-06-27,0.31,05:26:51,20:31:20
150,New York,2023-06-28,0.34,05:27:15,20:31:20
151,New York,2023-06-29,0.38,05:27:40,20:31:18
152,New York,2023-06-30,0.41,05:28:07,20:31:13
153,New York,2023-07-01,0.44,05:28:36,20:31:07
154,New York,2023-07-02,0.47,05:29:06,20:30:58
155,New York,2023-07-03,0.5,05:29:38,20:30:48
156,New York,2023-07-04,0.54,05:30:11,20:30:36
157,New York,2023-07-05,0.58,05:30:45,20:30:21
158,New York,2023-07-06,0.61,05:31:21,20:30:05
159,New York,2023-07-07,0.65,05:31:58,20:29:46
160,New York,2023-07-08,0.68,05:32:37,20:29:25
161,New York,2023-07-09,0.75,05:33:16,20:29:03
162,New York,2023-07-10,0.75,05:33:57,20:28:38
163,New York,2023-07-11,0.79,05:34:39,20:28:12
164,New York,2023-07-12,0.82,05:35:22,20:27:43
165,New York,2023-07-13,0.86,05:36:06,20:27:13
166,New York,2023-07-14,0.89,05:36:51,20:26:40
167,New York,2023-07-15,0.93,05:37:38,20:26:06
168,New York,2023-07-16,0.96,05:38:25,20:25:29
169,New York,2023-07-17,0.0,05:39:13,20:24:51
170,New York,2023-07-18,0.03,05:40:01,20:24:11
171,New York,2023-07-19,0.06,05:40:51,20:23:29
172,New York,2023-07-20,0.1,05:41:41,20:22:45
173,New York,2023-07-21,0.13,05:42:33,20:21:59
174,New York,2023-07-22,0.16,05:43:24,20:21:12
175,New York,2023-07-23,0.2,05:44:17,20:20:23
176,New York,2023-07-24,0.23,05:45:10,20:19:32
177,New York,2023-07-25,0.25,05:46:04,20:18:39
178,New York,2023-07-26,0.3,05:46:58,20:17:44
179,New York,2023-07-27,0.33,05:47:52,20:16:48
180,New York,2023-07-28,0.36,05:48:48,20:15:50
181,New York,2023-07-29,0.4,05:49:43,20:14:51
182,New York,2023-07-30,0.43,05:50:39,20:13:50
183,New York,2023-07-31,0.46,05:51:35,20:12:47
184,Los Angeles,2023-05-01,0.37,06:03:50,19:36:53
185,Los Angeles,2023-05-02,0.41,06:02:50,19:37:40
186,Los Angeles,2023-05-03,0.44,06:01:51,19:38:27
187,Los Angeles,2023-05-04,0.47,06:00:52,19:39:14
188,Los Angeles,2023-05-05,0.5,05:59:55,19:40:00
189,Los Angeles,2023-05-06,0.54,05:58:59,19:40:47
190,Los Angeles,2023-05-07,0.57,05:58:04,19:41:33
191,Los Angeles,2023-05-08,0.61,05:57:11,19:42:20
192,Los Angeles,2023-05-09,0.65,05:56:19,19:43:06
193,Los Angeles,2023-05-10,0.68,05:55:28,19:43:52
194,Los Angeles,2023-05-11,0.72,05:54:38,19:44:38
195,Los Angeles,2023-05-12,0.75,05:53:50,19:45:23
196,Los Angeles,2023-05-13,0.79,05:53:03,19:46:09
197,Los Angeles,2023-05-14,0.83,05:52:17,19:46:54
198,Los Angeles,2023-05-15,0.86,05:51:33,19:47:39
199,Los Angeles,2023-05-16,0.9,05:50:50,19:48:24
200,Los Angeles,2023-05-17,0.93,05:50:08,19:49:08
201,Los Angeles,2023-05-18,0.97,05:49:28,19:49:52
202,Los Angeles,2023-05-19,0.0,05:48:49,19:50:36
203,Los Angeles,2023-05-20,0.04,05:48:12,19:51:19
204,Los Angeles,2023-05-21,0.07,05:47:37,19:52:02
205,Los Angeles,2023-05-22,0.1,05:47:03,19:52:45
206,Los Angeles,2023-05-23,0.13,05:46:30,19:53:27
207,Los Angeles,2023-05-24,0.17,05:45:59,19:54:08
208,Los Angeles,2023-05-25,0.2,05:45:29,19:54:49
209,Los Angeles,2023-05-26,0.23,05:45:01,19:55:29
210,Los Angeles,2023-05-27,0.25,05:44:35,19:56:09
211,Los Angeles,2023-05-28,0.29,05:44:10,19:56:48
212,Los Angeles,2023-05-29,0.33,05:43:47,19:57:26
213,Los Angeles,2023-05-30,0.36,05:43:25,19:58:03
214,Los Angeles,2023-05-31,0.39,05:43:05,19:58:40
215,Los Angeles,2023-06-01,0.42,05:42:46,19:59:16
216,Los Angeles,2023-06-02,0.46,05:42:29,19:59:51
217,Los Angeles,2023-06-03,0.5,05:42:14,20:00:26
218,Los Angeles,2023-06-04,0.52,05:42:00,20:00:59
219,Los Angeles,2023-06-05,0.56,05:41:48,20:01:31
220,Los Angeles,2023-06-06,0.59,05:41:38,20:02:03
221,Los Angeles,2023-06-07,0.63,05:41:29,20:02:33
222,Los Angeles,2023-06-08,0.67,05:41:22,20:03:03
223,Los Angeles,2023-06-09,0.7,05:41:16,20:03:31
224,Los Angeles,2023-06-10,0.75,05:41:12,20:03:58
225,Los Angeles,2023-06-11,0.77,05:41:09,20:04:24
226,Los Angeles,2023-06-12,0.81,05:41:08,20:04:49
227,Los Angeles,2023-06-13,0.84,05:41:08,20:05:13
228,Los Angeles,2023-06-14,0.88,05:41:10,20:05:36
229,Los Angeles,2023-06-15,0.91,05:41:14,20:05:57
230,Los Angeles,2023-06-16,0.95,05:41:19,20:06:17
231,Los Angeles,2023-06-17,0.0,05:41:25,20:06:35
232,Los Angeles,2023-06-18,0.02,05:41:33,20:06:53
233,Los Angeles,2023-06-19,0.05,05:41:43,20:07:09
234,Los Angeles,2023-06-20,0.08,05:41:54,20:07:23
235,Los Angeles,2023-06-21,0.12,05:42:06,20:07:36
236,Los Angeles,2023-06-22,0.15,05:42:19,20:07:48
237,Los Angeles,2023-06-23,0.18,05:42:34,20:07:58
238,Los Angeles,2023-06-24,0.22,05:42:51,20:08:06
239,Los Angeles,2023-06-25,0.25,05:43:08,20:08:14
240,Los Angeles,2023-06-26,0.25,05:43:27,20:08:19
241,Los Angeles,2023-06-27,0.31,05:43:47,20:08:23
242,Los Angeles,2023-06-28,0.35,05:44:08,20:08:26
243,Los Angeles,2023-06-29,0.38,05:44:31,20:08:27
244,Los Angeles,2023-06-30,0.41,05:44:54,20:08:26
245,Los Angeles,2023-07-01,0.44,05:45:19,20:08:24
246,Los Angeles,2023-07-02,0.48,05:45:45,20:08:20
247,Los Angeles,2023-07-03,0.5,05:46:12,20:08:14
248,Los Angeles,2023-07-04,0.55,05:46:40,20:08:07
249,Los Angeles,2023-07-05,0.58,05:47:09,20:07:59
250,Los Angeles,2023-07-06,0.62,05:47:39,20:07:48
251,Los Angeles,2023-07-07,0.65,05:48:09,20:07:36
252,Los Angeles,2023-07-08,0.69,05:48:41,20:07:23
253,Los Angeles,2023-07-09,0.75,05:49:14,20:07:07
254,Los Angeles,2023-07-10,0.76,05:49:47,20:06:50
255,Los Angeles,2023-07-11,0.79,05:50:21,20:06:32
256,Los Angeles,2023-07-12,0.83,05:50:56,20:06:12
257,Los Angeles,2023-07-13,0.86,05:51:31,20:05:50
258,Los Angeles,2023-07-14,0.9,05:52:08,20:05:26
259,Los Angeles,2023-07-15,0.93,05:52:44,20:05:01
260,Los Angeles,2023-07-16,0.97,05:53:22,20:04:35
261,Los Angeles,2023-07-17,0.0,05:54:00,20:04:06
262,Los Angeles,2023-07-18,0.03,05:54:39,20:03:36
263,Los Angeles,2023-07-19,0.07,05:55:18,20:03:05
264,Los Angeles,2023-07-20,0.1,05:55:57,20:02:32
265,Los Angeles,2023-07-21,0.13,05:56:37,20:01:57
266,Los Angeles,2023-07-22,0.17,05:57:18,20:01:21
267,Los Angeles,2023-07-23,0.2,05:57:58,20:00:44
268,Los Angeles,2023-07-24,0.23,05:58:40,20:00:05
269,Los Angeles,2023-07-25,0.25,05:59:21,19:59:24
270,Los Angeles,2023-07-26,0.3,06:00:03,19:58:42
271,Los Angeles,2023-07-27,0.33,06:00:45,19:57:58
272,Los Angeles,2023-07-28,0.37,06:01:27,19:57:13
273,Los Angeles,2023-07-29,0.4,06:02:10,19:56:27
274,Los Angeles,2023-07-30,0.43,06:02:52,19:55:39
275,Los Angeles,2023-07-31,0.47,06:03:35,19:54:50
276,Atlanta,2023-05-01,0.37,06:49:01,20:20:54
277,Atlanta,2023-05-02,0.4,06:48:01,20:21:40
278,Atlanta,2023-05-03,0.43,06:47:03,20:22:26
279,Atlanta,2023-05-04,0.47,06:46:05,20:23:12
280,Atlanta,2023-05-05,0.5,06:45:08,20:23:58
281,Atlanta,2023-05-06,0.53,06:44:13,20:24:44
282,Atlanta,2023-05-07,0.57,06:43:18,20:25:30
283,Atlanta,2023-05-08,0.61,06:42:25,20:26:15
284,Atlanta,2023-05-09,0.64,06:41:34,20:27:01
285,Atlanta,2023-05-10,0.68,06:40:43,20:27:47
286,Atlanta,2023-05-11,0.71,06:39:54,20:28:32
287,Atlanta,2023-05-12,0.75,06:39:06,20:29:17
288,Atlanta,2023-05-13,0.78,06:38:19,20:30:02
289,Atlanta,2023-05-14,0.82,06:37:34,20:30:47
290,Atlanta,2023-05-15,0.86,06:36:50,20:31:31
291,Atlanta,2023-05-16,0.89,06:36:08,20:32:16
292,Atlanta,2023-05-17,0.93,06:35:27,20:32:59
293,Atlanta,2023-05-18,0.96,06:34:47,20:33:43
294,Atlanta,2023-05-19,0.0,06:34:09,20:34:26
295,Atlanta,2023-05-20,0.03,06:33:32,20:35:09
296,Atlanta,2023-05-21,0.06,06:32:57,20:35:52
297,Atlanta,2023-05-22,0.1,06:32:23,20:36:34
298,Atlanta,2023-05-23,0.13,06:31:50,20:37:15
299,Atlanta,2023-05-24,0.16,06:31:20,20:37:56
300,Atlanta,2023-05-25,0.19,06:30:50,20:38:36
301,Atlanta,2023-05-26,0.23,06:30:23,20:39:16
302,Atlanta,2023-05-27,0.25,06:29:56,20:39:56
303,Atlanta,2023-05-28,0.29,06:29:32,20:40:34
304,Atlanta,2023-05-29,0.32,06:29:09,20:41:12
305,Atlanta,2023-05-30,0.36,06:28:47,20:41:49
306,Atlanta,2023-05-31,0.39,06:28:27,20:42:26
307,Atlanta,2023-06-01,0.42,06:28:09,20:43:02
308,Atlanta,2023-06-02,0.45,06:27:52,20:43:37
309,Atlanta,2023-06-03,0.5,06:27:37,20:44:11
310,Atlanta,2023-06-04,0.52,06:27:24,20:44:44
311,Atlanta,2023-06-05,0.55,06:27:12,20:45:16
312,Atlanta,2023-06-06,0.59,06:27:01,20:45:47
313,Atlanta,2023-06-07,0.63,06:26:52,20:46:18
314,Atlanta,2023-06-08,0.66,06:26:45,20:46:47
315,Atlanta,2023-06-09,0.7,06:26:39,20:47:15
316,Atlanta,2023-06-10,0.75,06:26:35,20:47:42
317,Atlanta,2023-06-11,0.77,06:26:33,20:48:08
318,Atlanta,2023-06-12,0.8,06:26:32,20:48:33
319,Atlanta,2023-06-13,0.84,06:26:32,20:48:57
320,Atlanta,2023-06-14,0.87,06:26:34,20:49:20
321,Atlanta,2023-06-15,0.91,06:26:38,20:49:41
322,Atlanta,2023-06-16,0.95,06:26:43,20:50:01
323,Atlanta,2023-06-17,0.98,06:26:49,20:50:19
324,Atlanta,2023-06-18,0.0,06:26:57,20:50:37
325,Atlanta,2023-06-19,0.05,06:27:06,20:50:53
326,Atlanta,2023-06-20,0.08,06:27:17,20:51:07
327,Atlanta,2023-06-21,0.11,06:27:29,20:51:20
328,Atlanta,2023-06-22,0.15,06:27:43,20:51:32
329,Atlanta,2023-06-23,0.18,06:27:57,20:51:43
330,Atlanta,2023-06-24,0.21,06:28:13,20:51:51
331,Atlanta,2023-06-25,0.24,06:28:31,20:51:59
332,Atlanta,2023-06-26,0.25,06:28:49,20:52:05
333,Atlanta,2023-06-27,0.31,06:29:09,20:52:09
334,Atlanta,2023-06-28,0.34,06:29:30,20:52:12
335,Atlanta,2023-06-29,0.38,06:29:53,20:52:13
336,Atlanta,2023-06-30,0.41,06:30:16,20:52:13
337,Atlanta,2023-07-01,0.44,06:30:41,20:52:11
338,Atlanta,2023-07-02,0.47,06:31:06,20:52:07
339,Atlanta,2023-07-03,0.5,06:31:33,20:52:02
340,Atlanta,2023-07-04,0.54,06:32:00,20:51:55
341,Atlanta,2023-07-05,0.58,06:32:29,20:51:47
342,Atlanta,2023-07-06,0.61,06:32:58,20:51:37
343,Atlanta,2023-07-07,0.65,06:33:29,20:51:25
344,Atlanta,2023-07-08,0.68,06:34:00,20:51:12
345,Atlanta,2023-07-09,0.75,06:34:32,20:50:57
346,Atlanta,2023-07-10,0.75,06:35:05,20:50:41
347,Atlanta,2023-07-11,0.79,06:35:39,20:50:23
348,Atlanta,2023-07-12,0.82,06:36:13,20:50:03
349,Atlanta,2023-07-13,0.86,06:36:48,20:49:42
350,Atlanta,2023-07-14,0.89,06:37:24,20:49:19
351,Atlanta,2023-07-15,0.93,06:38:01,20:48:54
352,Atlanta,2023-07-16,0.96,06:38:38,20:48:28
353,Atlanta,2023-07-17,0.0,06:39:15,20:48:00
354,Atlanta,2023-07-18,0.03,06:39:53,20:47:31
355,Atlanta,2023-07-19,0.06,06:40:32,20:47:00
356,Atlanta,2023-07-20,0.1,06:41:11,20:46:28
357,Atlanta,2023-07-21,0.13,06:41:51,20:45:54
358,Atlanta,2023-07-22,0.16,06:42:31,20:45:18
359,Atlanta,2023-07-23,0.2,06:43:11,20:44:41
360,Atlanta,2023-07-24,0.23,06:43:52,20:44:03
361,Atlanta,2023-07-25,0.25,06:44:32,20:43:23
362,Atlanta,2023-07-26,0.3,06:45:14,20:42:41
363,Atlanta,2023-07-27,0.33,06:45:55,20:41:59
364,Atlanta,2023-07-28,0.36,06:46:37,20:41:14
365,Atlanta,2023-07-29,0.4,06:47:19,20:40:29
366,Atlanta,2023-07-30,0.43,06:48:01,20:39:41
367,Atlanta,2023-07-31,0.46,06:48:43,20:38:53
368,Miami,2023-05-01,0.37,06:44:11,19:52:02
369,Miami,2023-05-02,0.4,06:43:26,19:52:33
